ContextTokens,GeneratedTokens,start_timestamp_ms
981,400,277712
1339,69,277794
1033,406,278383
1112,431,278488
3411,64,278711
1051,382,279155
4138,84,279186
1010,397,279191
1115,413,279245
1025,407,279577
1143,393,279643
1226,379,279679
1024,419,280108
1136,418,280357
1083,399,280432
1989,83,280484
1046,438,280540
1025,375,280662
1317,192,280745
1083,407,280868
1036,538,280873
1035,398,281008
398,94,281404
1179,511,281607
1009,399,281805
1030,396,281828
403,94,281832
1003,372,281876
181,136,281905
1037,390,282059
1070,387,282260
1054,397,282262
1171,402,282475
1474,94,282608
1111,396,283157
983,373,283161
1150,389,283387
986,426,283460
1015,446,283554
1010,415,283746
1317,135,284049
1142,458,284084
1082,385,284084
4082,50,284172
1170,422,284975
1785,91,284986
1896,68,285034
1312,157,285667
1039,397,285968
1172,402,285975
2275,99,285992
995,452,286695
1020,400,286697
1140,404,286722
1088,421,286768
998,399,286831
420,112,286864
1171,402,286998
4087,103,287351
1189,415,287472
1119,395,287595
1076,51,287601
1191,409,287695
1009,396,288022
1054,411,288111
1323,205,288967
1046,399,289038
1896,68,290217
402,87,290336
998,387,290519
1170,394,290611
3243,116,290643
375,67,290677
981,401,290736
373,56,291395
1015,414,291572
1082,385,291789
1140,401,291893
1015,572,292185
991,414,292206
1227,420,292734
1024,429,293003
1149,423,293104
2227,82,293361
1063,428,293585
1059,525,293610
1085,442,293709
1023,446,293783
4079,58,294276
1282,66,294298
421,77,294659
1144,498,294793
373,72,294806
324,18,294845
1072,415,294912
1136,500,295026
1141,411,295396
1012,416,295824
405,90,296073
1035,398,296440
1057,439,296646
391,90,296747
1094,376,296792
1050,438,296887
1148,614,296986
1142,361,297298
1106,434,297594
2492,39,297815
1226,407,297937
958,554,297939
1082,391,298051
245,14,298056
1018,390,298495
395,85,298769
435,114,299096
379,81,299349
1099,410,299658
1339,72,299828
1317,235,299884
1017,537,300163
1139,674,300181
1033,427,300439
1009,397,300489
1020,400,300967
1008,395,300967
1046,418,300980
1054,419,301346
1202,411,301358
1102,396,302038
1139,429,302155
1785,137,302244
1075,516,302744
1179,511,302746
1065,439,302811
1230,413,303014
1314,164,303235
1029,71,303278
4073,36,303390
1051,420,303525
990,559,304026
1136,375,304116
1315,183,304229
4081,41,304266
1139,418,304348
1139,428,304702
1180,414,304826
1034,519,305046
1166,401,305144
181,246,305203
4086,53,305219
396,136,305286
1314,243,305450
1176,548,305958
1085,409,306106
1282,66,306126
1148,501,306521
390,96,306659
1756,111,306772
1025,591,307186
1136,429,307491
4083,37,307624
1024,402,307901
1209,522,308110
1057,394,308112
1314,202,308123
4075,53,308149
969,554,308150
505,92,308377
403,91,308427
1062,509,308506
692,109,308575
1061,448,309001
1041,385,309305
955,602,309528
857,117,309762
7930,49,310029
1036,394,310840
385,88,310911
1313,148,311254
1035,395,311333
4076,39,311483
1171,380,311493
1314,218,311634
1003,376,311670
1013,439,311698
1129,526,311766
986,441,312459
1028,366,312545
3287,47,312597
1160,400,312682
1160,639,312916
3243,82,313274
1036,650,313552
1007,441,313578
1154,482,314080
1039,385,314106
1082,538,314127
1144,404,314231
979,622,314269
181,147,314680
1232,80,315253
1126,446,315273
1024,385,315401
917,33,316745
1226,393,316969
1171,401,317111
1032,502,317397
434,124,317465
311,18,317494
1133,92,317753
401,130,317936
376,81,318038
1176,383,319007
1029,71,319202
1312,132,319342
372,63,319511
1203,385,319543
1015,596,320033
1018,388,320034
1045,605,320061
1112,431,320140
237,79,320274
1162,427,320305
1076,377,320734
1199,534,320944
28,265,321027
1052,412,321040
1180,880,321116
1083,407,321398
1785,137,321504
1053,394,321555
243,14,321611
1028,374,321689
1101,411,321720
2199,59,322012
1179,921,322044
1005,394,322623
1151,404,322905
181,167,323143
1149,379,323230
4083,124,323479
1070,428,325008
992,97,325098
1035,616,325378
912,395,325815
1353,234,326402
388,88,326461
1044,394,326580
997,393,326611
1109,488,326648
1311,159,326744
1025,589,327045
1232,80,327493
1106,399,327573
1060,396,327976
398,46,328051
1786,67,328096
119,12,328247
247,14,328270
1013,386,328424
407,88,328738
2220,43,328879
1030,375,329176
1035,391,329199
385,67,329437
380,97,330273
1046,393,330353
1036,390,330646
985,552,330762
1054,397,331598
181,126,332436
2648,77,332790
1089,412,333436
405,89,333575
1097,393,333683
1168,436,334052
333,18,334358
1053,415,334485
396,107,334727
986,448,335797
1315,198,335977
407,83,336055
4085,54,336104
1032,398,336168
1064,396,336277
1044,450,336383
1214,406,336459
3021,135,336532
1033,406,336772
42,154,336793
1025,401,336867
4082,400,337346
1019,52,337468
450,107,337524
181,263,337694
1025,441,337765
1201,401,338001
1021,398,338674
417,117,339152
1182,396,339387
1027,569,339728
1351,140,339937
409,95,340585
2584,145,340855
1009,411,341194
4073,38,341241
1109,377,341341
1155,75,341750
1066,379,342144
431,94,342179
1201,391,342240
387,95,342255
1003,394,342268
1033,396,342607
1018,388,342800
1436,66,342885
3021,135,342921
983,373,343058
1312,283,343388
1082,406,343810
998,447,343900
1316,168,343958
1314,231,344339
1046,438,344941
1023,388,344965
1227,652,345057
1019,394,345151
936,432,345355
4097,43,345551
46,138,345739
404,83,346383
1059,388,346459
12,139,347125
1044,471,347225
1134,379,347638
379,65,347678
429,115,347694
1159,397,347738
1223,444,347836
1093,432,347927
1009,397,348175
380,58,348248
3585,125,348723
1786,67,348807
1102,427,348874
1183,429,349228
1086,393,349328
1038,398,349377
1059,397,349739
1004,419,349742
371,53,350317
396,131,350862
4092,44,350980
1189,399,351235
1083,403,351468
1152,437,351523
1063,386,351570
1108,622,351592
1017,398,352011
1120,375,352179
1060,365,352860
1009,399,352982
1053,414,353017
304,18,353129
1097,418,353301
1018,476,353368
1143,70,353442
991,108,354377
1155,75,354470
1143,429,354795
1068,401,355015
1036,619,355087
1032,447,355347
4077,42,355388
1015,399,355682
1312,175,355797
685,120,355893
398,98,356043
1173,385,356710
1073,454,356924
2042,56,356991
1061,408,357036
17,120,357361
1316,170,358094
439,98,358108
390,155,358283
1023,406,358441
1029,519,358494
404,144,358545
1124,408,359171
1044,413,359730
1022,390,359795
393,113,360031
406,82,360050
1102,408,360137
238,14,360150
1146,396,360580
4090,61,360643
1048,396,360961
1040,414,360984
4076,48,361062
750,44,361304
2279,85,361387
1037,373,361744
1156,390,361833
4721,59,361958
1034,479,362217
430,90,362434
1044,35,362834
1009,415,363044
1026,400,363199
1089,465,363238
62,152,364032
382,53,364343
998,373,364366
936,431,365301
2374,116,365794
1150,404,366459
1099,410,366594
7,136,367018
4078,42,367078
1033,411,367088
1071,415,367143
1099,414,367343
