name,num_gpu,gpu_spec,creation_time
openb-pod-0772,1,T4,10300654
openb-pod-0773,1,,10301249
openb-pod-0774,1,G3,10303030
openb-pod-0775,1,T4,10303173
openb-pod-0776,1,,10303910
openb-pod-0777,1,,10303910
openb-pod-0778,1,T4,10304054
openb-pod-0779,1,,10304304
openb-pod-0780,1,,10304349
openb-pod-0781,1,,10305348
openb-pod-0782,1,T4,10305589
openb-pod-0783,1,,10306030
openb-pod-0784,1,G3,10306555
openb-pod-0785,1,,10306710
openb-pod-0786,1,,10306993
openb-pod-0787,0,,10307043
openb-pod-0788,1,,10307276
openb-pod-0789,0,,10307338
openb-pod-0790,0,,10307415
openb-pod-0791,0,,10307447
openb-pod-0792,0,,10307455
openb-pod-0793,0,,10307522
openb-pod-0794,1,,10307762
openb-pod-0795,0,,10307826
openb-pod-0796,1,T4,10308033
openb-pod-0797,1,T4,10311803
openb-pod-0798,1,T4,10312991
openb-pod-0799,1,T4,10314009
openb-pod-0800,1,,10314591
openb-pod-0801,1,,10314949
openb-pod-0802,1,T4,10315182
openb-pod-0803,1,,10315828
openb-pod-0804,1,,10315953
openb-pod-0805,1,T4,10316091
openb-pod-0806,1,,10317757
openb-pod-0807,1,,10319606
openb-pod-0808,1,,10321771
openb-pod-0809,1,P100,10321913
openb-pod-0810,1,,10322676
openb-pod-0811,1,,10323648
openb-pod-0812,1,T4,10325258
